k_active,trajectory,seed,control,official_w_corr_global,centered_w_corr_global,alpha_mae,alpha_temporal_variation_ratio,w_temporal_variation_ratio,w_relative_innovation_error
6,complex,20260729,constant_mean_alpha,0.9985168022323718,0.7898543152156434,0.1091213419379839,7.289872687612959e-16,1.4057140980997312e-14,0.5944654116569448
6,complex,20260730,constant_mean_alpha,0.9985168022323718,0.7898543152156434,0.1091213419379839,7.289872687612959e-16,1.4057140980997312e-14,0.5944654116569448
6,complex,20260731,constant_mean_alpha,0.9985168022323718,0.7898543152156434,0.1091213419379839,7.289872687612959e-16,1.4057140980997312e-14,0.5944654116569448
6,complex,20260732,constant_mean_alpha,0.9985168022323718,0.7898543152156434,0.1091213419379839,7.289872687612959e-16,1.4057140980997312e-14,0.5944654116569448
6,complex,20260733,constant_mean_alpha,0.9985168022323718,0.7898543152156434,0.1091213419379839,7.289872687612959e-16,1.4057140980997312e-14,0.5944654116569448
7,simple,20260729,constant_mean_alpha,0.9917583682870421,0.45898349440607666,0.20550857142857143,2.763902211235997e-16,5.5991261726641906e-15,0.8779800230434117
7,simple,20260730,constant_mean_alpha,0.9917583682870421,0.45898349440607666,0.20550857142857143,2.763902211235997e-16,5.5991261726641906e-15,0.8779800230434117
7,simple,20260731,constant_mean_alpha,0.9917583682870421,0.45898349440607666,0.20550857142857143,2.763902211235997e-16,5.5991261726641906e-15,0.8779800230434117
7,simple,20260732,constant_mean_alpha,0.9917583682870421,0.45898349440607666,0.20550857142857143,2.763902211235997e-16,5.5991261726641906e-15,0.8779800230434117
7,simple,20260733,constant_mean_alpha,0.9917583682870421,0.45898349440607666,0.20550857142857143,2.763902211235997e-16,5.5991261726641906e-15,0.8779800230434117
7,medium,20260729,constant_mean_alpha,0.9959842745649958,0.5906707061179639,0.15912409287741683,4.384797615569845e-16,8.281052149962965e-15,0.7908809325724659
7,medium,20260730,constant_mean_alpha,0.9959842745649958,0.5906707061179639,0.15912409287741683,4.384797615569845e-16,8.281052149962965e-15,0.7908809325724659
7,medium,20260731,constant_mean_alpha,0.9959842745649958,0.5906707061179639,0.15912409287741683,4.384797615569845e-16,8.281052149962965e-15,0.7908809325724659
7,medium,20260732,constant_mean_alpha,0.9959842745649958,0.5906707061179639,0.15912409287741683,4.384797615569845e-16,8.281052149962965e-15,0.7908809325724659
7,medium,20260733,constant_mean_alpha,0.9959842745649958,0.5906707061179639,0.15912409287741683,4.384797615569845e-16,8.281052149962965e-15,0.7908809325724659
7,complex,20260729,constant_mean_alpha,0.9987418335229608,0.7900373818429829,0.09329404898591229,1.0263466704552213e-15,1.474201499485795e-14,0.5908809103458834
7,complex,20260730,constant_mean_alpha,0.9987418335229608,0.7900373818429829,0.09329404898591229,1.0263466704552213e-15,1.474201499485795e-14,0.5908809103458834
7,complex,20260731,constant_mean_alpha,0.9987418335229608,0.7900373818429829,0.09329404898591229,1.0263466704552213e-15,1.474201499485795e-14,0.5908809103458834
7,complex,20260732,constant_mean_alpha,0.9987418335229608,0.7900373818429829,0.09329404898591229,1.0263466704552213e-15,1.474201499485795e-14,0.5908809103458834
7,complex,20260733,constant_mean_alpha,0.9987418335229608,0.7900373818429829,0.09329404898591229,1.0263466704552213e-15,1.474201499485795e-14,0.5908809103458834
8,simple,20260729,constant_mean_alpha,0.9913650695012866,0.4242055350077434,0.188288,2.9967532120151796e-16,5.596536492570715e-15,0.8948930624836374
